hspt_name,url,depth,text,date
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=1185&cate_no=2&cate_code=&board_style=view,1,"세흥병원/ 
				¿ŞÂÊ¹ßº¹ º¹¼ş¾Æ »À ºÎºĞ¿¡ ¹°È¤				 ",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=1119&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				¹«¸­ ¿¬°ñÀÌ ¶³¾îÁ® ³ª°¬À» ¶§				 ",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=1104&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				¼ºÀåÆÇ°Ë»ç°úÈØ´Ù¸®Ä¡·á¿¡±Ã±İÇÑ°Í				 ",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=1099&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				´ëÇĞº´¿ø¿¡¼­°ñÀı¼ö¼ú¹Ş¾Æ´Âµ¥Ã¶½ÉÁ¦°ÅÀ»¿©±â¼­ÇØµµµÇ³ª¿ä				 ",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=1034&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				°ñ±«»ç ¿¡ ´ëÇØ ¹®ÀÇ µå¸³´Ï´Ù.								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=1035&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				°ñ±«»ç¿¡ °üÇÑ ´äº¯								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=1019&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				³»Çâ¼º ¹ßÅé Ä¡·á				 ",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=1020&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				³»¼ºÇâ¹ßÅé								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=999&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				Áú¹®ÇÏ½Å ³»¿ëÀº È¯ÀÚºĞ²² Á÷Á¢ ÀüÈ­µå·Á¼­ Ä£ÀıÇÏ°Ô ¾Ë·Áµå¸®µµ·Ï ÇÏ°Ú½À..								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=977&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				°£È£»çºÒÄ£ÀıÀÌ¿ä.¤¾								",200326
