hspt_name,url
의료법인현암의료재단 우리들병원,http://busan.wooridul.co.kr/
의료법인춘곡의료재단수성메트로병원,https://www.metro-suseong.co.kr/main/main.php
웰튼병원,https://wellton.co.kr/
무룹병원,http://www.muruphospital.com/
부천21세기병원,http://www.bc21spine.co.kr/index.php?menu_gb=KR2
참병원,http://www.chamhp.com/
척척병원,http://www.wisemanhospital.com/front/intro
박원욱병원,http://www.parkspine.co.kr/
참바른병원,http://chambarun.kr/
서울대정병원,http://sdjhospital.com/index.php
인본병원,http://www.inbone.kr/
의료법인 성지의료재단 성지병원,https://sjmedi.co.kr/
성모윌병원,https://www.stmarywill.com/
JS노송병원,http://www.jsnohsong.com/
진주세란병원,http://www.jjseran.co.kr/
서재곤링커병원,http://www.linkerhospital.com/
광주21세기병원,http://www.ortho21.com/main/intro.php
수병원,http://www.soo365.co.kr/
척편한병원,http://www.cphh.co.kr/
마디척정형외과의원,https://madichuk.modoo.at/
울들병원,http://www.wooldul.co.kr/
의료법인성베드로병원,http://www.stpeters.co.kr/
든든한병원,https://www.ddhhospital.com/
케이에스병원,http://www.kshospital.net/
의료법인한마음의료재단 여수제일병원,http://www.jeilhp.com/content/
플러스병원,http://www.himplus.co.kr/
새길병원,http://www.sae-gil.com/
선한병원,http://www.shhospital.co.kr/
서울척척신경외과의원,https://chukchukns.modoo.at/
써지탑병원,http://www.surgetop.co.kr/
의료법인명은의료재단 명은병원,http://www.myungeun.co.kr/content/
허리나은병원,http://www.ctlspine.co.kr/
오케이병원,http://www.okayhospital.co.kr/home/index.php
건누리병원,https://gunnoori.com/
일산이십일세기병원,http://www.ilsan21.com/
천안센텀정형외과신경외과병원,http://www.centum100.co.kr/
선수촌병원,http://www.sunsoochon.com/
솔병원,http://www.sol-hospital.co.kr/
전주우리들병원,http://jeonju.wooridul.co.kr/
동래우리들병원,http://dongrae.wooridul.co.kr/
탄탄병원,http://www.tthp.co.kr/
