,hspt_name,original_link,hand_link
102,허리편한 병원,http://www.good-spine.co.kr/?author=1,http://www.good-spine.co.kr/
103,메드렉스병원,http://www.medrex.kr/,
104,의료법인 나누리병원,http://www.nanoori.co.kr/,
105,천안우리병원,http://www.spinewoori.com/,
106,최원호병원,http://www.cwhhospital.com/,
107,효성시티병원,http://www.hshos.com/kr/,
108,강남초이스정형외과병원,https://www.choicehospital.co.kr/,
109,프라임병원,https://disc21.co.kr/,
110,으뜸병원,http://thetop.kr/,
111,굿모닝병원,http://www.gm-hospital.co.kr/,
112,스마일본병원,http://www.smilebone.com/,
113,남기세병원,http://www.namkise.co.kr/,
114,두발로정형외과의원,http://www.dubalo.com/,http://www.dubalo.com/index.asp
115,생생병원,http://www.saengsaenghospital.com/,
116,동탄시티병원,http://www.dtcityhospital.com/default/,
117,팔팔병원,https://88hospital.com/,
118,순천하나병원,http://www.schana.co.kr/,
119,순천우리병원,http://www.scwoori.com/,
120,연세무척나은병원,http://ysks.co.kr/home/index.php,
121,강북우리들병원,http://www.gbwooridul.co.kr/,
122,서울스타병원,http://www.seoulstar.net/,
123,인천마디병원,http://www.incheonmadi.com/main/main.php,
124,버팀병원,https://burteam.co.kr/,
125,서울바른병원(舊.바른병원),http://seoul.barunsesang.co.kr/,http://www.barun.or.kr/
126,의료법인 토마스의료재단 안양윌스기념병원,https://anyspine.co.kr/,
127,일산하이병원,http://www.hihospital.kr/,http://www.hihospital.kr/
128,좋은아침병원,http://gmhosp.co.kr/,
129,굿병원,http://sm.egoodwill.co.kr/,None
130,광혜병원,http://www.gwanghyehospital.com/,
131,모두병원,http://www.moduhosp.co.kr/index.asp,
132,세바른병원,http://bs.sebarun.com/main/main.php,
133,양산제일병원,https://www.yangsancheilhospital.com/,
134,의료법인현암의료재단 우리들병원,http://busan.wooridul.co.kr/,
135,의료법인춘곡의료재단수성메트로병원,https://www.metro-suseong.co.kr/main/main.php,
136,웰튼병원,https://wellton.co.kr/,
137,무룹병원,http://www.muruphospital.com/,http://www.muruphospital.com/main/main.html
138,부천21세기병원,http://www.bc21spine.co.kr/index.php?menu_gb=KR2,
139,참병원,http://www.chamhp.com/,
140,척척병원,http://www.wisemanhospital.com/front/intro,
141,박원욱병원,http://www.parkspine.co.kr/,
142,참바른병원,http://chambarun.kr/,
143,서울대정병원,http://sdjhospital.com/index.php,
144,인본병원,http://www.inbone.kr/,
145,의료법인 성지의료재단 성지병원,https://sjmedi.co.kr/,
146,성모윌병원,https://www.stmarywill.com/,
147,JS노송병원,http://www.jsnohsong.com/,
148,진주세란병원,http://www.jjseran.co.kr/,
149,서재곤링커병원,http://www.linkerhospital.com/,
150,광주21세기병원,http://www.ortho21.com/main/intro.php,
151,수병원,http://www.soo365.co.kr/,
152,척편한병원,http://www.cphh.co.kr/,
153,마디척정형외과의원,https://madichuk.modoo.at/,
154,울들병원,http://www.wooldul.co.kr/,
155,의료법인성베드로병원,http://www.stpeters.co.kr/,
156,든든한병원,https://www.ddhhospital.com/,https://www.ddhhospital.com/index.php
157,케이에스병원,http://www.kshospital.net/,
158,의료법인한마음의료재단 여수제일병원,http://www.jeilhp.com/content/,http://www.jeilhp.com/
159,플러스병원,http://www.himplus.co.kr/,https://plushospital.com/html/
160,새길병원,http://www.sae-gil.com/,
161,선한병원,http://www.shhospital.co.kr/,
162,서울척척신경외과의원,https://chukchukns.modoo.at/,
163,써지탑병원,http://www.surgetop.co.kr/,
164,의료법인명은의료재단 명은병원,http://www.myungeun.co.kr/content/,http://www.myungeun.co.kr/
165,허리나은병원,http://www.ctlspine.co.kr/,
166,오케이병원,http://www.okayhospital.co.kr/home/index.php,
167,건누리병원,https://gunnoori.com/,
168,일산이십일세기병원,http://www.ilsan21.com/,
169,천안센텀정형외과신경외과병원,http://www.centum100.co.kr/,
170,선수촌병원,http://www.sunsoochon.com/,
171,솔병원,http://www.sol-hospital.co.kr/,
172,전주우리들병원,http://jeonju.wooridul.co.kr/,
173,동래우리들병원,http://dongrae.wooridul.co.kr/,
174,탄탄병원,http://www.tthp.co.kr/,
175,제주우리병원,http://xn--oy2bo1dt3lzdy2eoxb.kr/,
176,성모척관병원,http://www.spinejoint.co.kr/,
177,참바로병원,http://chambaro.co.kr/index.php,
178,튼튼병원,http://www.djtntn.com/,
179,본병원,http://www.bonehospital.co.kr/,
180,허&리병원,http://html.cybermoon.kr/503.html,page error
181,강동병원,https://www.kdh.or.kr:446/index.asp,None
182,공주현대병원,http://www.kjhd.co.kr/,
183,서울바른척도병원,http://www.chuckdo.com/,
184,척병원,https://www.seoulchuk.com/main.do,
185,선정형외과의원,https://sunhosp.modoo.at/,
186,조인트힐병원,http://www.jointh.com/,
187,우리척병원,http://www.woorichuck.net/_kor/,
188,연세프라임병원,http://primehospital.co.kr/,
189,한양류마디병원,http://hyrmd.or.kr/,
190,방병원,http://www.ysbang.net/kr/index.php,
191,오정본병원,http://www.ojbonhospital.co.kr/,
192,힘플러스병원,http://www.himplus.co.kr/,
193,오병원,http://m.obw.kr/,
194,활기찬병원,http://www.vivahospital.co.kr/wpage/index.php,
195,연세다움병원,http://yshospital.mdrline.net/,
196,의료법인석경의료재단창원센텀병원,http://egoodh.co.kr/2014/,
197,추새로병원,http://www.xn--2o2bo5f70ds3hlnj.com/,
198,가제트병원,http://www.gadgethosp.co.kr/user,
199,청라국제병원,http://www.jsjhospital.co.kr/main/main.php,
200,금메달 정형외과의원,http://www.goldmedalclinic.com/,
201,의료법인 신의료재단 김해삼승병원,http://www.ghsamsung.com/01_introduce/,http://www.ghsamsung.com/main/main.php
202,코끼리휴병원,http://www.koggiryhue.co.kr/mobile/page/main.asp,
203,인천연세병원,http://www.icys.kr/,
204,김찬병원,http://m.kimchan.kr/,
205,365병원,http://www.masan365.co.kr/,
206,광명21세기병원,http://www.gwangmyeong21.com/,
207,서울제일병원,http://www.sj-hospital.co.kr/,
208,단디병원,http://dandihos.com/html/,
209,연세견우정형외과의원,http://www.shoulderfriends.co.kr/,
210,가자연세병원,http://goyshospital.com/,
211,광주OK병원,http://www.okhosp.com/,
212,심정병원,http://www.shimjeong.co.kr/,
213,더조은병원,https://www.joeun4u.com/,
214,스마튼병원,http://smartonhosp.co.kr/index.asp,
215,연세광혜병원,http://www.ykspine.com/,
216,의료법인 한성재단 S서울병원,http://www.s-seoul.com/,
217,사랑플러스병원,http://www.sarang-plus.com/,
218,의료법인 성지의료재단 제천성지병원,http://www.jcsjmedi.co.kr/,
219,어울림병원,http://www.oulimhospital.com/sub/main.php,
220,강남병원,http://www.knmc.or.kr/main/main.php,
221,의료법인정애의료재단서울초이스병원,https://www.drchois.co.kr/intro_greet1,
222,굳센병원,http://www.goodssen.co.kr/,
223,전주우리병원,http://www.jjwoori.co.kr/,
224,노원참튼튼병원,http://www.nowontntn.co.kr/nowon_new/index.php,
225,연세오케이정형외과의원,http://ysok.co.kr/,
226,진주본병원,http://www.bon4567.co.kr/,
227,서울석병원,http://www.seoulseokhospital.com/intro/,http://www.seoulseokhospital.com/
228,허리사랑병원,http://www.ilovespine.com/,
229,한사랑병원,http://www.hansarang7.com/,
230,서울우리병원,http://www.seoulwoori.net/,
231,첨단우리병원,http://www.woori-hospital.com/,
232,여수한국병원,http://www.yshankook.co.kr/,
233,의료법인 백산의료재단 K마디병원,https://www.kmadi.com/home,
234,기둥병원,http://www.kidunghospital.net/guide/,http://www.kidunghospital.net/index.asp
235,척사랑병원,http://www.spinelove.com/,
236,세연마취통증의학과의원,http://www.pain119.co.kr/,
237,초이스병원,http://www.sportsmed.co.kr/,
238,문동언마취통증의학과의원,http://www.mpainclinic.com/,
